iter	Passed	Remaining
555	9155	7311
556	9170	7293
557	9186	7276
558	9200	7258
559	9215	7240
560	9233	7225
561	9250	7209
562	9268	7194
563	9286	7178
564	9305	7164
565	9322	7148
566	9339	7132
567	9357	7116
568	9374	7100
569	9392	7085
570	9411	7070
571	9428	7055
572	9446	7039
573	9464	7024
574	9482	7008
575	9499	6992
576	9513	6974
577	9528	6957
578	9544	6939
579	9559	6922
580	9573	6904
581	9587	6885
582	9602	6868
583	9617	6850
584	9632	6833
585	9647	6815
586	9661	6797
587	9676	6780
588	9692	6763
589	9707	6745
590	9721	6727
591	9736	6710
592	9750	6692
593	9765	6674
594	9780	6657
595	9795	6640
596	9810	6622
597	9824	6604
598	9838	6586
599	9853	6568
600	9867	6550
601	9880	6532
602	9895	6515
603	9910	6497
604	9924	6479
605	9938	6461
606	9953	6444
607	9969	6427
608	9984	6410
609	9999	6392
610	10013	6375
611	10027	6357
612	10042	6339
613	10057	6322
614	10071	6304
615	10086	6287
616	10102	6270
617	10116	6253
618	10132	6236
619	10146	6219
620	10161	6201
621	10174	6183
622	10189	6165
623	10205	6149
624	10219	6131
625	10234	6114
626	10249	6097
627	10264	6080
628	10285	6066
629	10306	6052
630	10325	6038
631	10346	6024
632	10363	6008
633	10382	5993
634	10397	5976
635	10412	5959
636	10427	5942
637	10442	5925
638	10457	5907
639	10471	5890
640	10486	5873
641	10502	5856
642	10517	5839
643	10533	5822
644	10547	5805
645	10561	5787
646	10576	5770
647	10590	5752
648	10606	5736
649	10621	5719
650	10636	5702
651	10649	5684
652	10664	5667
653	10679	5649
654	10693	5632
655	10708	5615
656	10724	5598
657	10738	5581
658	10753	5564
659	10768	5547
660	10782	5529
661	10796	5512
662	10811	5495
663	10826	5478
664	10841	5461
665	10856	5444
666	10871	5427
667	10885	5410
668	10900	5393
669	10913	5375
670	10928	5358
671	10943	5341
672	10957	5324
673	10978	5309
674	10995	5293
675	11014	5279
676	11031	5263
677	11048	5247
678	11062	5229
679	11076	5212
680	11090	5194
681	11104	5177
682	11119	5160
683	11134	5143
684	11149	5126
685	11164	5110
686	11179	5093
687	11193	5076
688	11208	5059
689	11222	5041
690	11235	5024
691	11250	5007
692	11265	4990
693	11280	4973
694	11295	4957
695	11309	4939
696	11323	4922
697	11337	4905
698	11352	4888
699	11367	4871
700	11381	4854
701	11396	4837
702	11411	4820
703	11425	4804
704	11439	4786
705	11453	4769
706	11468	4753
707	11483	4736
708	11497	4719
709	11511	4701
710	11526	4685
711	11541	4668
712	11556	4651
713	11570	4634
714	11585	4617
715	11600	4601
716	11614	4584
717	11635	4570
718	11657	4556
719	11675	4540
720	11694	4525
721	11709	4508
722	11724	4492
723	11739	4475
724	11753	4458
725	11767	4441
726	11781	4424
727	11796	4407
728	11811	4390
729	11826	4374
730	11841	4357
731	11855	4340
732	11871	4324
733	11886	4307
734	11900	4290
735	11915	4274
736	11929	4257
737	11944	4240
738	11958	4223
739	11973	4206
740	11988	4190
741	12004	4173
742	12019	4157
743	12033	4140
744	12048	4123
745	12062	4106
746	12076	4090
747	12091	4073
748	12108	4057
749	12123	4041
750	12137	4024
751	12151	4007
752	12166	3990
753	12180	3974
754	12197	3957
755	12212	3941
756	12225	3924
757	12240	3907
758	12254	3891
759	12269	3874
760	12283	3857
761	12299	3841
762	12313	3824
763	12326	3807
764	12340	3790
765	12355	3774
766	12370	3757
767	12385	3741
768	12400	3724
769	12414	3708
770	12429	3691
771	12444	3675
772	12458	3658
773	12472	3641
774	12486	3625
775	12503	3609
776	12518	3592
777	12534	3576
778	12548	3560
779	12563	3543
780	12578	3527
781	12594	3510
782	12610	3494
783	12626	3478
784	12641	3462
785	12656	3445
786	12670	3429
787	12683	3412
788	12698	3395
789	12712	3379
790	12728	3363
791	12742	3346
792	12757	3330
793	12772	3313
794	12787	3297
795	12802	3281
796	12817	3264
797	12832	3248
798	12846	3231
799	12861	3215
800	12875	3198
801	12890	3182
802	12906	3166
803	12921	3149
804	12935	3133
805	12950	3117
806	12964	3100
807	12978	3083
808	12992	3067
809	13007	3051
810	13021	3034
811	13036	3018
812	13051	3001
813	13065	2985
814	13079	2968
815	13093	2952
816	13108	2936
817	13123	2919
818	13138	2903
819	13153	2887
820	13170	2871
821	13187	2855
822	13202	2839
823	13218	2823
824	13233	2807
825	13249	2791
826	13265	2775
827	13282	2759
828	13300	2743
829	13315	2727
830	13331	2711
831	13347	2695
832	13362	2678
833	13376	2662
834	13392	2646
835	13407	2630
836	13421	2613
837	13436	2597
838	13451	2581
839	13467	2565
840	13482	2548
841	13496	2532
842	13511	2516
843	13526	2500
844	13540	2483
845	13556	2467
846	13570	2451
847	13585	2435
848	13599	2418
849	13613	2402
850	13628	2386
851	13642	2369
852	13657	2353
853	13671	2337
854	13686	2321
855	13702	2305
856	13716	2288
857	13731	2272
858	13745	2256
859	13760	2240
860	13775	2223
861	13789	2207
862	13805	2191
863	13820	2175
864	13836	2159
865	13850	2143
866	13866	2127
867	13881	2110
868	13896	2094
869	13910	2078
870	13925	2062
871	13940	2046
872	13955	2030
873	13970	2013
874	13985	1997
875	14000	1981
876	14014	1965
877	14028	1949
878	14043	1933
879	14057	1916
880	14073	1900
881	14088	1884
882	14103	1868
883	14119	1852
884	14135	1836
885	14150	1820
886	14165	1804
887	14179	1788
888	14195	1772
889	14209	1756
890	14224	1740
891	14239	1724
892	14257	1708
893	14274	1692
894	14290	1676
895	14305	1660
896	14321	1644
897	14336	1628
898	14351	1612
899	14366	1596
900	14381	1580
901	14397	1564
902	14412	1548
903	14426	1532
904	14440	1515
905	14455	1499
906	14470	1483
907	14486	1467
908	14501	1451
909	14516	1435
910	14530	1419
911	14545	1403
912	14562	1387
913	14577	1371
914	14593	1355
915	14609	1339
916	14624	1323
917	14638	1307
918	14653	1291
919	14667	1275
920	14682	1259
921	14697	1243
922	14712	1227
923	14727	1211
924	14742	1195
925	14757	1179
926	14772	1163
927	14786	1147
928	14800	1131
929	14815	1115
930	14830	1099
931	14844	1083
932	14859	1067
933	14874	1051
934	14888	1035
935	14902	1018
936	14917	1002
937	14932	987
938	14947	971
939	14963	955
940	14978	939
941	14992	923
942	15007	907
943	15022	891
944	15036	875
945	15051	859
946	15066	843
947	15082	827
948	15097	811
949	15111	795
950	15126	779
951	15141	763
952	15155	747
953	15170	731
954	15184	715
955	15199	699
956	15214	683
957	15228	667
958	15243	651
959	15258	635
960	15272	619
961	15286	603
962	15302	587
963	15318	572
964	15333	556
965	15348	540
966	15365	524
967	15380	508
968	15396	492
969	15415	476
970	15431	460
971	15446	444
972	15463	429
973	15478	413
974	15494	397
975	15509	381
976	15524	365
977	15539	349
978	15555	333
979	15571	317
980	15585	301
981	15600	285
982	15616	270
983	15632	254
984	15648	238
985	15664	222
986	15679	206
987	15693	190
988	15708	174
989	15723	158
990	15738	142
991	15753	127
992	15769	111
993	15783	95
994	15798	79
995	15813	63
996	15828	47
997	15843	31
998	15857	15
999	15872	0
